City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Arraial Do Cabo,BR,-22.97,-42.03,73.4,60,75,14.99,broken clouds
83,Port Blair,IN,11.67,92.75,80.67,80,60,3.09,broken clouds
84,Isangel,VU,-19.55,169.27,75.52,85,100,10.36,overcast clouds
85,Harbour Breton,CA,47.48,-55.8,45.0,100,100,5.01,overcast clouds
86,Sabang,ID,5.89,95.32,81.1,78,84,7.72,broken clouds
87,Port Elizabeth,ZA,-33.92,25.57,66.2,93,3,5.82,clear sky
88,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,60,0,5.82,clear sky
89,New Norfolk,AU,-42.78,147.06,70.0,63,55,1.99,broken clouds
90,Chuy,UY,-33.7,-53.46,63.14,68,0,12.06,clear sky
91,Barrow,US,71.29,-156.79,10.4,72,90,13.87,overcast clouds
92,Severnyy,RU,50.68,36.55,48.2,87,75,2.24,broken clouds
93,Boyolangu,ID,-8.12,111.89,75.54,85,100,2.53,light rain
94,Mezica,SI,46.52,14.85,60.01,82,45,1.83,scattered clouds
95,Gladstone,AU,-23.85,151.25,68.0,72,40,5.82,scattered clouds
96,Mahebourg,MU,-20.41,57.7,71.6,68,75,8.05,broken clouds
97,Coquimbo,CL,-29.95,-71.34,57.2,82,90,13.87,overcast clouds
98,Saldanha,ZA,-33.01,17.94,62.6,82,34,4.7,scattered clouds
99,Ormara,PK,25.21,64.64,75.49,61,0,11.25,clear sky
100,Bershet,RU,57.73,56.38,26.6,86,0,6.71,clear sky
101,East London,ZA,-33.02,27.91,68.0,88,0,6.93,clear sky
102,Siparia,TT,10.13,-61.5,84.99,81,100,1.99,overcast clouds
103,Leningradskiy,RU,69.38,178.42,8.1,86,6,23.6,clear sky
104,Hilo,US,19.73,-155.09,78.8,83,90,6.93,light rain
105,Adrar,MR,20.5,-10.07,84.38,15,0,7.11,clear sky
106,Qaanaaq,GL,77.48,-69.36,4.17,81,3,5.91,clear sky
107,Piacabucu,BR,-10.41,-36.43,79.0,81,98,10.92,overcast clouds
108,Vulcan,RO,45.38,23.27,50.9,91,88,1.1,overcast clouds
109,Batemans Bay,AU,-35.72,150.18,55.99,94,15,1.01,few clouds
110,Dikson,RU,73.51,80.55,3.42,91,0,7.92,clear sky
111,Udachnyy,RU,66.42,112.4,1.4,91,90,2.19,light shower snow
112,Yellowknife,CA,62.46,-114.35,5.0,77,75,10.29,broken clouds
113,Muyezerskiy,RU,63.93,31.65,43.18,83,51,11.05,broken clouds
114,Touros,BR,-5.2,-35.46,84.2,66,20,18.34,few clouds
115,Tiksi,RU,71.69,128.87,8.6,95,100,2.3,overcast clouds
116,Nadym,RU,65.53,72.52,24.4,98,100,8.19,overcast clouds
117,Brigantine,US,39.41,-74.36,59.0,33,1,16.11,clear sky
118,Sioux Lookout,CA,50.1,-91.92,53.6,50,20,6.93,few clouds
119,Xunchang,CN,28.45,104.72,54.93,81,100,2.01,overcast clouds
120,Imbituba,BR,-28.24,-48.67,66.2,88,75,5.82,light rain
121,Esperance,AU,-33.87,121.9,51.8,93,40,3.36,scattered clouds
122,Sheridan,US,44.83,-106.92,73.4,23,1,3.36,clear sky
123,Virginia Beach,US,36.85,-75.98,64.4,25,20,12.75,few clouds
124,Kabanjahe,ID,3.1,98.49,63.61,99,100,3.22,moderate rain
125,Mar Del Plata,AR,-38.0,-57.56,64.4,72,20,20.8,few clouds
126,Iquitos,PE,-3.75,-73.25,93.2,52,75,4.7,broken clouds
127,Georgetown,MY,5.41,100.34,77.0,94,20,3.62,few clouds
128,Fairbanks,US,64.84,-147.72,-22.0,67,40,0.74,fog
129,Faanui,PF,-16.48,-151.75,79.29,82,88,20.09,overcast clouds
130,Victoria,HK,22.29,114.16,72.0,77,100,10.0,overcast clouds
131,Idil,TR,37.34,41.89,58.66,64,36,4.74,scattered clouds
132,Bentiu,SS,9.23,29.83,80.64,62,0,3.76,clear sky
133,Ganzhou,CN,28.82,115.43,56.57,54,97,5.55,light rain
134,Taunton,GB,51.02,-3.1,46.0,86,59,1.99,light rain
135,Puerto Lempira,HN,15.27,-83.77,78.89,89,100,23.47,moderate rain
136,Gigmoto,PH,13.78,124.39,77.88,87,100,7.61,light rain
137,Tamandare,BR,-8.76,-35.1,79.41,76,0,12.37,clear sky
138,Tura,IN,25.52,90.22,66.49,71,0,0.83,clear sky
139,The Valley,AI,18.22,-63.06,86.0,70,40,14.99,scattered clouds
140,Hermanus,ZA,-34.42,19.23,66.99,85,50,11.99,scattered clouds
141,Touba,CI,8.28,-7.68,76.39,74,7,1.66,clear sky
142,Half Moon Bay,US,37.46,-122.43,69.01,82,20,4.7,few clouds
143,Muskegon,US,43.3,-86.13,60.8,54,1,12.75,clear sky
144,Sibiti,CG,-3.68,13.35,71.15,99,100,3.47,overcast clouds
145,Venice,US,27.1,-82.45,79.0,47,1,16.11,clear sky
146,Visegrad,BA,43.78,19.3,51.8,81,100,1.12,overcast clouds
147,Souillac,MU,-20.52,57.52,71.6,68,75,8.05,broken clouds
148,Liverpool,GB,53.41,-2.98,45.0,87,75,4.7,shower rain
149,Hualmay,PE,-11.1,-77.61,68.58,67,96,9.24,overcast clouds
150,Havoysund,NO,71.0,24.66,44.6,81,75,20.8,broken clouds
151,Tecoanapa,MX,16.52,-98.75,84.65,46,42,8.93,scattered clouds
152,Pisco,PE,-13.7,-76.22,71.6,60,0,8.05,clear sky
153,Katherine,AU,-14.47,132.27,84.2,62,98,11.41,overcast clouds
154,Alice Springs,AU,-23.7,133.88,68.0,20,0,4.41,clear sky
155,Saint-Francois,FR,46.42,3.91,50.0,87,90,2.24,overcast clouds
156,Haines Junction,CA,60.75,-137.51,-9.4,76,100,1.12,overcast clouds
157,Shymkent,KZ,42.3,69.6,41.0,35,0,2.77,smoke
158,Sur,OM,22.57,59.53,71.22,53,0,7.16,clear sky
159,Oksfjord,NO,70.24,22.35,46.4,61,40,14.99,scattered clouds
160,Nabire,ID,-3.37,135.48,75.42,89,100,5.37,light rain
161,Lebu,CL,-37.62,-73.65,57.02,73,2,7.09,clear sky
162,Marzuq,YE,14.4,46.47,61.45,32,0,0.81,clear sky
163,Vallenar,CL,-28.57,-70.76,78.04,32,0,10.25,clear sky
164,Wilmington,US,34.23,-77.94,66.2,22,1,9.17,clear sky
165,Kenai,US,60.55,-151.26,15.01,71,1,7.23,clear sky
166,Tekeli,KZ,44.83,78.82,38.34,67,100,3.94,overcast clouds
167,Eyrarbakki,IS,63.86,-21.15,41.0,75,75,9.17,broken clouds
168,Saskylakh,RU,71.92,114.08,-1.84,92,95,3.78,overcast clouds
169,Pula,HR,44.87,13.85,53.6,81,20,4.7,few clouds
170,Flinders,AU,-34.58,150.86,61.0,88,21,1.01,few clouds
171,Boa Vista,BR,2.82,-60.67,89.6,49,75,8.05,broken clouds
172,Poum,NC,-20.23,164.02,77.22,79,100,12.12,overcast clouds
173,Bontang,ID,0.13,117.5,76.39,78,100,4.72,overcast clouds
174,Mindelo,CV,16.89,-24.98,78.8,69,20,27.51,few clouds
175,Lokoja,NG,7.8,6.74,81.9,56,97,3.44,overcast clouds
176,Thompson,CA,55.74,-97.86,21.2,100,90,2.24,overcast clouds
177,Walvis Bay,NA,-22.96,14.51,60.01,82,17,10.29,few clouds
178,Areka,ET,7.07,37.7,59.49,45,5,5.7,clear sky
179,Tonantins,BR,-2.87,-67.8,88.65,59,100,2.42,heavy intensity rain
180,Salalah,OM,17.02,54.09,75.2,47,0,2.24,clear sky
181,Riyadh,SA,24.69,46.72,71.6,30,0,2.24,clear sky
182,Kalmar,SE,56.66,16.36,50.0,87,9,4.7,clear sky
183,Labuhan,ID,-6.88,112.21,78.55,84,53,5.57,broken clouds
184,Vila Franca Do Campo,PT,37.72,-25.43,60.8,59,75,13.87,broken clouds
185,Merauke,ID,-8.47,140.33,79.25,84,100,8.95,overcast clouds
186,Tomatlan,MX,19.93,-105.25,91.96,30,67,4.76,broken clouds
187,Bud,US,39.45,-86.18,64.99,31,1,5.82,clear sky
188,Novaya Igirma,RU,57.13,103.91,24.8,97,100,5.14,overcast clouds
189,Chipinge,ZW,-20.19,32.62,64.67,89,8,8.32,clear sky
190,Non Sung,TH,15.18,102.26,75.99,99,7,8.32,clear sky
191,Margherita,IN,27.28,95.68,68.27,92,14,2.93,few clouds
192,Boralday,KZ,43.36,76.86,39.2,41,18,8.95,smoke
193,Sabha,LY,27.04,14.43,66.24,44,4,5.88,clear sky
194,Atar,MR,20.52,-13.05,95.0,24,0,9.17,clear sky
195,Bethel,US,41.37,-73.41,48.0,49,1,9.17,clear sky
196,Okhotsk,RU,59.38,143.3,29.64,93,100,21.18,overcast clouds
197,Grande Prairie,CA,55.17,-118.8,46.4,65,90,2.24,overcast clouds
198,Longyearbyen,SJ,78.22,15.64,30.2,74,40,25.28,scattered clouds
199,Cockburn Town,TC,21.46,-71.14,80.56,80,100,15.03,light rain
200,Cedar City,US,37.68,-113.06,64.4,34,1,4.7,clear sky
201,Tateyama,JP,34.98,139.87,55.4,56,0,24.16,clear sky
202,Aden,YE,12.78,45.04,80.76,72,12,12.28,few clouds
203,Agua Verde,MX,22.9,-106.05,91.4,36,5,8.05,clear sky
204,Oktyabrskiy,RU,54.48,53.47,36.72,81,0,4.74,clear sky
205,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,91.92,51,100,2.17,overcast clouds
206,Airai,TL,-8.93,125.41,61.0,82,54,1.79,broken clouds
207,Vieux-Habitants,GP,16.06,-61.77,86.0,62,75,13.87,broken clouds
208,Pankovka,RU,58.5,31.2,46.76,90,76,9.01,broken clouds
209,Jardim,BR,-21.48,-56.14,85.82,36,28,3.31,scattered clouds
210,Qaqortoq,GL,60.72,-46.03,41.0,75,75,19.46,light rain
211,Sao Filipe,CV,14.9,-24.5,79.7,68,59,10.6,broken clouds
212,La Paz,BO,-16.5,-68.15,64.4,15,20,10.29,few clouds
213,Kudymkar,RU,59.02,54.66,30.51,89,0,10.63,clear sky
214,Mana,GF,5.66,-53.78,81.99,76,100,10.45,overcast clouds
215,San Quintin,MX,30.48,-115.95,73.36,57,100,12.71,overcast clouds
216,Grand Gaube,MU,-20.01,57.66,70.0,70,54,3.0,broken clouds
217,Karlovac,HR,45.49,15.55,57.0,93,0,1.12,clear sky
218,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,40,18.34,scattered clouds
219,Picayune,US,30.53,-89.68,70.0,36,0,3.31,clear sky
220,Sinjar,IQ,36.32,41.88,60.64,66,15,3.29,few clouds
221,Yashalta,RU,46.34,42.28,53.58,76,0,8.34,light rain
222,Aklavik,CA,68.22,-135.01,1.4,84,90,5.82,overcast clouds
223,Salvador,SV,13.83,-88.92,89.6,65,40,14.99,scattered clouds
224,Bilma,NE,18.69,12.92,73.31,21,0,6.91,clear sky
225,Ribeira Grande,PT,38.52,-28.7,62.6,59,75,12.75,broken clouds
226,Risti,EE,59.0,24.06,51.01,94,98,1.99,overcast clouds
227,Prince Rupert,CA,54.32,-130.32,42.8,93,90,9.17,moderate rain
228,Zhenlai,CN,45.85,123.3,20.79,76,0,8.34,clear sky
229,Bambous Virieux,MU,-20.34,57.76,71.6,68,75,8.05,broken clouds
230,Port Hardy,CA,50.7,-127.42,51.8,87,90,16.11,overcast clouds
231,Gazojak,TM,41.19,61.4,52.5,37,68,12.06,broken clouds
232,Paithan,IN,19.48,75.38,68.0,72,40,5.97,haze
233,Yaan,NG,7.38,8.57,79.2,53,100,5.26,overcast clouds
234,Kisangani,CD,0.52,25.2,72.84,96,99,0.96,overcast clouds
235,Mutsu,JP,41.29,141.22,39.99,86,75,18.34,broken clouds
236,Klaksvik,FO,62.23,-6.59,42.8,70,100,31.09,light rain
237,Gobabis,NA,-22.45,18.97,80.1,16,24,8.55,few clouds
238,Berlevag,NO,70.86,29.09,42.8,65,20,35.57,few clouds
239,Wanaka,NZ,-44.7,169.15,54.0,75,11,2.57,few clouds
240,College,US,64.86,-147.8,-22.0,74,20,3.36,few clouds
241,Havelock,US,34.88,-76.9,64.99,33,0,8.01,clear sky
242,Sinnamary,GF,5.38,-52.95,82.15,75,87,10.13,overcast clouds
243,Severo-Kurilsk,RU,50.68,156.12,41.72,84,26,11.41,scattered clouds
244,Bukachacha,RU,52.98,116.92,17.67,78,100,2.59,overcast clouds
245,Sitka,US,57.05,-135.33,37.4,70,20,3.36,few clouds
246,Banyo,CM,6.75,11.82,68.58,80,33,1.54,scattered clouds
247,Florianopolis,BR,-27.61,-48.5,66.2,88,75,5.82,broken clouds
248,Voi,KE,-3.39,38.56,71.53,80,49,9.04,scattered clouds
249,Svetlogorsk,BY,52.63,29.73,43.0,91,58,5.97,broken clouds
250,Chokurdakh,RU,70.63,147.92,-15.59,84,0,6.42,clear sky
