City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Guerrero Negro,MX,76.03,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
307,Oeiras,BR,76.14,broken clouds,-7.03,-42.13,Hotel SESC Oeiras
312,Lamu,KE,78.8,few clouds,-2.27,40.9,Lamu House
316,Cabimas,VE,82.26,broken clouds,10.39,-71.44,Hotel D'Maio
325,Canchungo,GW,80.6,clear sky,12.07,-16.03,Hotel Pereira
328,Charters Towers,AU,77.99,scattered clouds,-20.1,146.27,Cattleman's Rest Motor Inn
334,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
336,Fomboni,KM,78.39,clear sky,-12.28,43.74,Auberge les abou
337,Fremont,US,75.0,few clouds,37.55,-121.99,Best Western Plus Garden Court Inn
338,San Lorenzo,PY,87.8,clear sky,-25.33,-57.53,Ámbar Hotel
342,Tomatlan,MX,84.15,scattered clouds,19.93,-105.25,Norma franco
345,Samarai,PG,81.46,light rain,-10.62,150.67,Nuli Sapi
346,Ternate,ID,80.94,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
348,Mount Isa,AU,89.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
350,Laureles,US,75.99,clear sky,26.11,-97.49,Los Fresnos Inn
351,Kavaratti,IN,82.18,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
352,Hambantota,LK,75.2,overcast clouds,6.12,81.12,Bungalow 63
353,Mandiana,GN,78.42,broken clouds,10.63,-8.68,La maison De Metre Malick
356,Humaita,BR,75.0,overcast clouds,-7.51,-63.02,Corrêa Hotel
357,Sorong,ID,79.63,overcast clouds,-0.88,131.25,The Waigo Hotel
361,Papar,MY,77.0,heavy intensity rain,5.73,115.93,Pandan Hotel
363,Ambulu,ID,76.3,broken clouds,-8.35,113.61,Hotel Ambulu Jember
365,Jizan,SA,82.4,clear sky,17.33,42.67,شهدان. ابوالحجر
368,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
374,Loandjili,CG,78.78,broken clouds,-4.76,11.86,Résidence ARCHANGE
376,Nhulunbuy,AU,84.2,overcast clouds,-12.23,136.77,East Arnhem Real Estate
379,Ukiah,US,80.6,clear sky,39.15,-123.21,Hampton Inn Ukiah
380,Mayumba,GA,78.15,light rain,-3.43,10.66,LIKWALE LODGE
393,San Pedro,PH,79.0,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
394,Sao Jose Da Coroa Grande,BR,78.24,clear sky,-8.9,-35.15,Crôa Mares Hotel
395,San Miguel,SV,82.4,light rain,13.48,-88.18,Excalibur
399,Mozarlandia,BR,78.84,clear sky,-14.74,-50.57,Hotel Santa Mônica
407,Muli,MV,82.51,clear sky,2.92,73.57,Medhufushi Island Resort
410,Boa Vista,BR,89.6,few clouds,2.82,-60.67,Aipana Plaza Hotel
411,Ixtapa,MX,87.8,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
413,Mecca,SA,76.42,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
415,Narrabri,AU,75.2,clear sky,-30.32,149.78,Crossroads Hotel
422,Dingle,PH,78.42,overcast clouds,11.0,122.67,Camp Pasica
