City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Wanning,CN,2020-10-31 18:36:32,18.8,110.4,72.28,86,24,8.66
70,Salalah,OM,2020-10-31 18:37:25,17.02,54.09,77.0,31,0,3.36
71,Trelew,AR,2020-10-31 18:37:26,-43.25,-65.31,85.64,14,0,11.14
72,Porto Novo,BJ,2020-10-31 18:37:26,6.5,2.6,82.4,83,40,10.29
73,Chernyshevskiy,RU,2020-10-31 18:37:26,63.01,112.47,-3.8,92,0,2.15
74,Cidreira,BR,2020-10-31 18:32:52,-30.18,-50.21,66.88,63,100,10.02
75,Pisco,PE,2020-10-31 18:34:24,-13.7,-76.22,69.8,73,0,6.93
76,Husavik,IS,2020-10-31 18:37:26,66.04,-17.34,37.4,74,0,5.82
77,Grand Junction,US,2020-10-31 18:37:26,39.06,-108.55,57.0,29,1,1.68
78,Richards Bay,ZA,2020-10-31 18:37:26,-28.78,32.04,66.11,86,100,7.74
79,Souillac,MU,2020-10-31 18:33:02,-20.52,57.52,68.0,77,20,6.93
80,Atuona,PF,2020-10-31 18:37:27,-9.8,-139.03,78.35,75,10,18.9
81,Patiya,BD,2020-10-31 18:37:27,22.29,91.98,74.82,97,100,1.28
82,Butaritari,KI,2020-10-31 18:32:57,3.07,172.79,81.39,75,100,16.33
83,Sheregesh,RU,2020-10-31 18:37:27,52.92,87.99,23.34,98,100,1.88
84,Tuktoyaktuk,CA,2020-10-31 18:32:53,69.45,-133.04,-4.0,83,40,4.7
85,Adrar,MR,2020-10-31 18:35:32,20.5,-10.07,87.39,13,100,9.82
86,Saskylakh,RU,2020-10-31 18:37:27,71.92,114.08,-5.17,83,2,6.38
87,Sokoto,NG,2020-10-31 18:37:27,13.06,5.24,85.42,18,14,7.31
88,Bethel,US,2020-10-31 18:32:43,41.37,-73.41,45.0,41,1,3.36
89,Sumbawanga,TZ,2020-10-31 18:37:28,-7.97,31.62,69.8,68,40,2.01
90,Ahuimanu,US,2020-10-31 18:37:28,21.44,-157.84,79.0,65,20,2.26
91,Khomutovka,RU,2020-10-31 18:37:28,51.92,34.56,46.87,89,100,14.54
92,Jamestown,US,2020-10-31 18:37:28,42.1,-79.24,43.0,69,90,13.87
93,Port-Gentil,GA,2020-10-31 18:37:28,-0.72,8.78,82.4,78,40,12.75
94,Vyskov,CZ,2020-10-31 18:37:28,49.28,17.0,53.01,87,75,8.05
95,Tornio,FI,2020-10-31 18:37:28,65.85,24.15,32.0,94,100,8.05
96,Dombarovskiy,RU,2020-10-31 18:37:28,50.76,59.54,44.44,55,100,14.23
97,Boffa,GN,2020-10-31 18:37:29,10.17,-14.03,79.5,83,0,4.23
98,Busselton,AU,2020-10-31 18:37:29,-33.65,115.33,61.0,76,100,5.39
99,Kapaa,US,2020-10-31 18:33:17,22.08,-159.32,75.2,83,1,5.82
100,Constitucion,CL,2020-10-31 18:37:29,-35.33,-72.42,65.89,59,8,6.6
101,Mantua,IT,2020-10-31 18:37:15,45.17,10.78,54.0,93,100,2.24
102,Sisimiut,GL,2020-10-31 18:37:29,66.94,-53.67,20.52,95,100,6.82
103,Sao Filipe,CV,2020-10-31 18:37:29,14.9,-24.5,80.82,64,97,15.88
104,Hasaki,JP,2020-10-31 18:33:16,35.73,140.83,42.8,93,20,4.7
105,Cesis,LV,2020-10-31 18:37:29,57.31,25.27,39.0,97,0,4.56
106,High Level,CA,2020-10-31 18:33:35,58.52,-117.14,23.0,92,20,6.93
107,Yulara,AU,2020-10-31 18:37:30,-25.24,130.99,66.2,25,0,6.93
108,Parkes,AU,2020-10-31 18:37:30,-33.13,148.18,52.0,94,1,4.41
109,Tasiilaq,GL,2020-10-31 18:32:42,65.61,-37.64,33.8,86,75,2.24
110,Praia,CV,2020-10-31 18:37:30,14.92,-23.51,80.6,69,75,25.28
111,Castro,BR,2020-10-31 18:37:30,-24.79,-50.01,60.67,77,96,8.21
112,Severo-Kurilsk,RU,2020-10-31 18:37:30,50.68,156.12,42.53,73,91,21.83
113,Palmer,US,2020-10-31 18:37:30,42.16,-72.33,43.0,77,0,3.74
114,Gap,FR,2020-10-31 18:37:31,44.67,6.0,53.01,73,0,3.42
115,Halifax,CA,2020-10-31 18:33:08,44.65,-63.57,45.0,38,0,6.93
116,Tutoia,BR,2020-10-31 18:37:31,-2.76,-42.27,83.88,73,23,14.83
117,Lakeway,US,2020-10-31 18:37:31,30.36,-97.98,73.99,41,21,6.85
118,Qaanaaq,GL,2020-10-31 18:33:03,77.48,-69.36,10.56,84,97,7.14
119,Udachnyy,RU,2020-10-31 18:36:55,66.42,112.4,1.4,91,0,2.24
120,Hobart,AU,2020-10-31 18:33:49,-42.88,147.33,55.4,66,90,6.93
121,Ostrovnoy,RU,2020-10-31 18:36:46,68.05,39.51,26.74,95,1,13.13
122,Clarksville,US,2020-10-31 18:37:31,36.53,-87.36,63.0,51,1,3.36
123,Hereford,GB,2020-10-31 18:37:31,52.06,-2.71,50.0,82,100,10.27
124,Saint George,US,2020-10-31 18:33:08,37.1,-113.58,57.2,24,1,0.76
125,Atar,MR,2020-10-31 18:37:32,20.52,-13.05,91.36,13,0,9.69
126,Ukiah,US,2020-10-31 18:37:17,39.15,-123.21,73.99,34,1,2.89
127,Fort Nelson,CA,2020-10-31 18:37:32,58.81,-122.7,17.6,92,75,3.36
128,Meadow Lake,US,2020-10-31 18:37:09,34.8,-106.54,64.0,47,40,5.68
129,Coahuayana,MX,2020-10-31 18:37:32,18.73,-103.68,80.6,74,40,5.99
130,Katsuura,JP,2020-10-31 18:34:01,35.13,140.3,51.8,76,0,9.17
131,Hay River,CA,2020-10-31 18:37:32,60.82,-115.8,23.0,79,0,10.29
132,Hami,CN,2020-10-31 18:37:33,42.8,93.45,37.54,64,0,5.39
133,Longhua,CN,2020-10-31 18:37:33,23.61,114.19,66.92,84,0,0.34
134,Abha,SA,2020-10-31 18:37:33,18.22,42.51,64.4,77,0,3.49
135,Grand Gaube,MU,2020-10-31 18:37:33,-20.01,57.66,64.99,76,13,3.0
136,Thompson,CA,2020-10-31 18:37:33,55.74,-97.86,17.6,72,90,16.11
137,Mokhsogollokh,RU,2020-10-31 18:32:51,61.47,128.92,-13.13,89,4,1.25
138,Mangai,CD,2020-10-31 18:37:33,-4.05,19.53,74.17,86,18,1.61
139,Ust-Ilimsk,RU,2020-10-31 18:33:58,58.0,102.66,11.68,93,100,4.85
140,Homer,US,2020-10-31 18:34:06,59.64,-151.55,26.01,52,1,18.66
141,Marsh Harbour,BS,2020-10-31 18:34:25,26.54,-77.06,80.19,80,0,17.49
142,Mar Del Plata,AR,2020-10-31 18:34:45,-38.0,-57.56,66.2,59,0,14.99
143,Grand Baie,MU,2020-10-31 18:37:34,-20.02,57.58,64.99,76,16,3.0
144,Carutapera,BR,2020-10-31 18:36:40,-1.2,-46.02,85.35,63,81,9.73
145,Manzhouli,CN,2020-10-31 18:37:34,49.6,117.43,25.66,95,100,15.43
146,Hithadhoo,MV,2020-10-31 18:37:34,-0.6,73.08,83.64,71,100,8.12
147,Dongning,CN,2020-10-31 18:37:34,44.06,131.12,43.38,79,52,5.79
148,Oranjestad,AW,2020-10-31 18:37:34,12.52,-70.03,84.2,83,20,16.11
